row_id,embedding_seperated,embedding_model_name,sentence_embedding_method,feature_engenearing,grading_model,dataset_name,dataset_split,seed_data_split,shots,epochs,time_stamp,rmse,pears_correlation,p_value,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,precision_weighted,recall_weighted,f1_weighted
1113,True,BERT,avg,cosine_similarity,Ridge Regression,texas,train_df,42,0,0,2023-05-28 01:08:42,1.0766899115681252,0.2642710046142034,7.853591548637406e-27,0.3186675047140163,0.2240615313366698,0.1725016398577206,0.0970046973537339,0.3186675047140163,0.3186675047140163,0.3186675047140163,0.5859560542743725,0.3186675047140163,0.1871573839968979
1114,True,BERT,avg,cosine_similarity,Ridge Regression,texas,test_df,42,0,0,2023-05-28 01:08:42,1.0906914594539006,0.307367727076046,2.1739562883167847e-11,0.2907488986784141,0.2226551818430407,0.1729025311330764,0.0907176033557818,0.2907488986784141,0.2907488986784141,0.2907488986784141,0.6024951845413841,0.2907488986784141,0.1584145422618014
1115,True,BERT,avg,cosine_similarity,Ridge Regression,texas,validation_df,42,0,0,2023-05-28 01:08:42,0.9984011052249208,0.2286437788521301,0.0005020172798035,0.3026315789473684,0.2161339421613394,0.1698885405781957,0.0871345029239766,0.3026315789473684,0.3026315789473684,0.3026315789473684,0.5946887767363616,0.3026315789473684,0.165958756540474
1116,True,BERT,avg,cosine_similarity,Isotonic Regression,english,train_df,42,0,0,2023-05-28 01:08:42,0.7186191299548386,0.5656609750726456,1.797095e-318,0.4675668519989409,0.5968963418067498,0.4951069527500991,0.4780083786335677,0.4675668519989409,0.4675668519989409,0.4675668519989409,0.6402946669683277,0.4675668519989409,0.489073044930346
1117,True,BERT,avg,cosine_similarity,Isotonic Regression,english,test_df,42,0,0,2023-05-28 01:08:42,0.7311024848244522,0.5242982952695536,3.111811895855283e-77,0.4708063021316033,0.5809835371567466,0.4911953043996779,0.4780179080814016,0.4708063021316033,0.4708063021316033,0.4708063021316033,0.6114738779178377,0.4708063021316033,0.4826884426582418
1118,True,BERT,avg,cosine_similarity,Isotonic Regression,english,validation_df,42,0,0,2023-05-28 01:08:42,0.7259538627640425,0.5169384679375421,3.14610227718677e-38,0.5,0.5941713108251717,0.5118818700826541,0.5081734046609435,0.5,0.5,0.5,0.6123017120327916,0.5,0.5130891299854546
1119,True,BERT,avg,cosine_similarity,Linear Regression,english,train_df,42,0,0,2023-05-28 01:08:42,0.7649977643531893,0.4789194890437611,7.260664268602458e-216,0.3039449298384961,0.3958387178049236,0.2257648329261369,0.1518394878610392,0.3039449298384961,0.3039449298384961,0.3039449298384961,0.7156844734819923,0.3039449298384961,0.2359657830264679
1120,True,BERT,avg,cosine_similarity,Linear Regression,english,test_df,42,0,0,2023-05-28 01:08:42,0.7631327750758571,0.4575269603795351,6.222766447533355e-57,0.3271547729379054,0.3922660053274547,0.2299766376974114,0.1601848774407976,0.3271547729379054,0.3271547729379054,0.3271547729379054,0.6943106082681192,0.3271547729379054,0.2454241079879904
1121,True,BERT,avg,cosine_similarity,Linear Regression,english,validation_df,42,0,0,2023-05-28 01:08:42,0.7478852793969282,0.4666556768405776,1.4854230264767488e-30,0.3388888888888889,0.4597573839662447,0.2793764379242764,0.1974958273227903,0.3388888888888889,0.3388888888888889,0.3388888888888889,0.6359860915768089,0.3388888888888889,0.2613590681434249
1122,True,BERT,avg,cosine_similarity,Ridge Regression,english,train_df,42,0,0,2023-05-28 01:08:42,0.7651266891784406,0.4789194890437611,7.260664268602458e-216,0.2986497220015885,0.4016511340908123,0.2235126791951847,0.1454799050772481,0.2986497220015885,0.2986497220015885,0.2986497220015885,0.7267221292310356,0.2986497220015885,0.2240227294052708
